epoch,train_loss,lr,max_miou,best_mdice,best_mhd95,best_epoch,val_loss,val_miou,val_mdice,val_mhd95,iou_cls_0,dice_cls_0,hd95_cls_0,iou_cls_1,dice_cls_1,hd95_cls_1,iou_cls_2,dice_cls_2,hd95_cls_2,iou_cls_3,dice_cls_3,hd95_cls_3
20,1.277079039,0.000274494,0.657259316,0.620127203,23.57568976,15,0.516738079,0.650320433,0.609748499,24.2086057,0.643715203,0.513973584,16.64452257,0.526021069,0.472212608,31.33948321,0.627168561,0.613292033,29.96773273,0.804376899,0.83951577,18.88268427
21,1.278708212,0.00027183,0.657259316,0.620127203,23.57568976,15,0.570955923,0.625700744,0.617446693,24.15623924,0.620496615,0.551079725,19.18189524,0.497464903,0.477506617,30.05940023,0.611155771,0.613652684,28.0023019,0.773685689,0.827547746,19.38135958
22,1.270493826,0.000269048,0.657259316,0.620127203,23.57568976,15,0.570955923,0.625700744,0.617446693,24.15623924,0.620496615,0.551079725,19.18189524,0.497464903,0.477506617,30.05940023,0.611155771,0.613652684,28.0023019,0.773685689,0.827547746,19.38135958
23,1.247375228,0.000266151,0.661796286,0.61321414,22.88175108,23,0.498835913,0.661796286,0.61321414,22.88175108,0.68694977,0.535212787,14.04428139,0.497198056,0.453846947,31.23082656,0.62983737,0.600662125,30.44092238,0.833199948,0.863134699,15.81097397
24,1.232273981,0.000263141,0.661796286,0.61321414,22.88175108,23,0.498835913,0.661796286,0.61321414,22.88175108,0.68694977,0.535212787,14.04428139,0.497198056,0.453846947,31.23082656,0.62983737,0.600662125,30.44092238,0.833199948,0.863134699,15.81097397
25,1.274984344,0.000260023,0.664796286,0.61321414,22.88175108,23,0.51153349,0.657926518,0.632518366,22.7195624,0.651454705,0.562368664,17.43803092,0.533493728,0.49577699,28.19222282,0.639178175,0.63625042,26.42618062,0.807579464,0.835677391,18.82181526
26,1.239134661,0.000256798,0.661796286,0.61321414,22.88175108,23,0.51153349,0.657926518,0.632518366,22.7195624,0.651454705,0.562368664,17.43803092,0.533493728,0.49577699,28.19222282,0.639178175,0.63625042,26.42618062,0.807579464,0.835677391,18.82181526
27,1.261181122,0.000253471,0.661796286,0.61321414,22.88175108,23,0.57637356,0.601014354,0.587238226,25.85780091,0.582599648,0.543583791,21.98477208,0.486255991,0.430372722,29.41545008,0.58713657,0.572257734,29.79447156,0.748065208,0.802738655,22.23650991
28,1.262638566,0.000250044,0.661796286,0.61321414,22.88175108,23,0.57637356,0.601014354,0.587238226,25.85780091,0.582599648,0.543583791,21.98477208,0.486255991,0.430372722,29.41545008,0.58713657,0.572257734,29.79447156,0.748065208,0.802738655,22.23650991
29,1.243976572,0.00024652,0.661796286,0.61321414,22.88175108,23,0.467032937,0.628102688,0.584742984,24.59974939,0.684280979,0.514361498,14.38732624,0.424873583,0.403146788,32.99020442,0.578863289,0.570444403,32.93631518,0.824392902,0.851019245,18.08515172
30,1.254641883,0.000242904,0.661796286,0.61321414,22.88175108,23,0.467032937,0.628102688,0.584742984,24.59974939,0.684280979,0.514361498,14.38732624,0.424873583,0.403146788,32.99020442,0.578863289,0.570444403,32.93631518,0.824392902,0.851019245,18.08515172
31,1.226924802,0.000239198,0.661796286,0.61321414,22.88175108,23,0.512023242,0.649653241,0.629076546,22.41598814,0.657326072,0.557090452,16.97937323,0.530024297,0.489579711,28.07712395,0.618628413,0.625319705,27.1453216,0.792634181,0.844316318,17.46213377
32,1.213724862,0.000235407,0.661796286,0.61321414,22.88175108,23,0.512023242,0.649653241,0.629076546,22.41598814,0.657326072,0.557090452,16.97937323,0.530024297,0.489579711,28.07712395,0.618628413,0.625319705,27.1453216,0.792634181,0.844316318,17.46213377
33,1.223319835,0.000231534,0.684547807,0.628633895,22.03380675,33,0.444952987,0.684547807,0.628633895,22.03380675,0.694689277,0.562663915,14.6634239,0.552442211,0.481772706,28.70833578,0.651187783,0.62056427,27.49777978,0.839871956,0.849534689,17.26568755
34,1.211244214,0.000227584,0.684547807,0.628633895,22.03380675,33,0.444952987,0.684547807,0.628633895,22.03380675,0.694689277,0.562663915,14.6634239,0.552442211,0.481772706,28.70833578,0.651187783,0.62056427,27.49777978,0.839871956,0.849534689,17.26568755
35,1.582785408,0.000223559,0.684547807,0.628633895,22.03380675,33,0.442385632,0.673338833,0.637476138,22.9258876,0.678142727,0.532235244,14.74770685,0.551908416,0.518910631,30.52079695,0.637043126,0.655328258,27.37253096,0.826261064,0.843430419,19.06251564
36,1.614195821,0.000219464,0.684547807,0.628633895,22.03380675,33,0.442385632,0.673338833,0.637476138,22.9258876,0.678142727,0.532235244,14.74770685,0.551908416,0.518910631,30.52079695,0.637043126,0.655328258,27.37253096,0.826261064,0.843430419,19.06251564
37,1.5951162,0.000215302,0.684547807,0.628633895,22.03380675,33,0.567465464,0.645249712,0.62666964,22.88332714,0.630904942,0.554612487,19.01629729,0.544969558,0.493775969,27.78610813,0.62316537,0.628298516,26.0687615,0.781958976,0.829991588,18.66214163
38,1.588554042,0.000211079,0.684547807,0.628633895,22.03380675,33,0.567465464,0.645249712,0.62666964,22.88332714,0.630904942,0.554612487,19.01629729,0.544969558,0.493775969,27.78610813,0.62316537,0.628298516,26.0687615,0.781958976,0.829991588,18.66214163
39,1.58742313,0.000206798,0.688484289,0.639555214,20.95457898,39,0.432726076,0.688484289,0.639555214,20.95457898,0.690686081,0.562407698,14.15054068,0.577528937,0.491311866,28.05042068,0.651721545,0.640770708,26.34874807,0.834000592,0.863730584,15.26860649
40,1.578591394,0.000202464,0.688484289,0.639555214,20.95457898,39,0.432726076,0.688484289,0.639555214,20.95457898,0.690686081,0.562407698,14.15054068,0.577528937,0.491311866,28.05042068,0.651721545,0.640770708,26.34874807,0.834000592,0.863730584,15.26860649
41,1.538168089,0.00019808,0.688484289,0.639555214,20.95457898,39,0.466674374,0.681345247,0.642320715,20.87392104,0.696290566,0.557080878,14.02508698,0.547371494,0.503163101,28.19850974,0.646917698,0.64250005,26.26438305,0.834801229,0.866538829,15.00770441
42,1.535908386,0.000193651,0.688484289,0.639555214,20.95457898,39,0.466674374,0.681345247,0.642320715,20.87392104,0.696290566,0.557080878,14.02508698,0.547371494,0.503163101,28.19850974,0.646917698,0.64250005,26.26438305,0.834801229,0.866538829,15.00770441
43,1.56061641,0.000189182,0.688484289,0.639555214,20.95457898,39,0.475222023,0.654256932,0.609853968,22.61259227,0.673072027,0.512962829,13.91467313,0.493461738,0.459731852,30.72061707,0.627969215,0.601621001,29.96916485,0.822524747,0.86510019,15.84591404
44,1.552100181,0.000184676,0.688484289,0.639555214,20.95457898,39,0.475222023,0.654256932,0.609853968,22.61259227,0.673072027,0.512962829,13.91467313,0.493461738,0.459731852,30.72061707,0.627969215,0.601621001,29.96916485,0.822524747,0.86510019,15.84591404
45,1.567072781,0.000180139,0.695956929,0.641284696,20.94422974,45,0.390153166,0.695956929,0.641284696,20.94422974,0.724046097,0.534858153,12.32854992,0.562316771,0.509604496,28.80299357,0.651187776,0.652952603,27.13604905,0.846277071,0.867723533,15.50932641
46,1.505340638,0.000175574,0.695956929,0.641284696,20.94422974,45,0.390153166,0.695956929,0.641284696,20.94422974,0.724046097,0.534858153,12.32854992,0.562316771,0.509604496,28.80299357,0.651187776,0.652952603,27.13604905,0.846277071,0.867723533,15.50932641
47,1.496812297,0.000170987,0.695956929,0.641284696,20.94422974,45,0.389685152,0.675407174,0.617728532,21.25084175,0.728316182,0.547595166,12.04386111,0.520149747,0.456945541,28.56926319,0.593274811,0.595050979,29.31214998,0.859887957,0.87132244,15.07809275
